PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28108489","Processing of Egomotion-Consistent Optic Flow in the Rhesus Macaque Cortex","Cottereau BR, Smith AT, Rima S, Fize D, Héjja-Brichard Y, Renaud L, Lejards C, Vayssière N, Trotter Y, Durand JB.","Cereb Cortex. 2017 Jan 1;27(1):330-343. doi: 10.1093/cercor/bhw412.","Cottereau BR","Cereb Cortex","2017","2017/01/22","PMC5939222","","10.1093/cercor/bhw412"
"27989909","Altered regional homogeneity of brain spontaneous signals in SIV infected rhesus macaque model","Zhao J, Jing B, Chen F, Liu J, Wang Y, Li H.","Magn Reson Imaging. 2017 Apr;37:56-61. doi: 10.1016/j.mri.2016.10.019. Epub 2016 Oct 27.","Zhao J","Magn Reson Imaging","2017","2016/12/20","","","10.1016/j.mri.2016.10.019"
"27251623","Dopamine Release in the Nonhuman Primate Caudate and Putamen Depends upon Site of Stimulation in the Subthalamic Nucleus","Min HK, Ross EK, Jo HJ, Cho S, Settell ML, Jeong JH, Duffy PS, Chang SY, Bennet KE, Blaha CD, Lee KH.","J Neurosci. 2016 Jun 1;36(22):6022-9. doi: 10.1523/JNEUROSCI.0403-16.2016.","Min HK","J Neurosci","2016","2016/06/03","PMC4887566","","10.1523/JNEUROSCI.0403-16.2016"
"26573340","Auditory sequence processing reveals evolutionarily conserved regions of frontal cortex in macaques and humans","Wilson B, Kikuchi Y, Sun L, Hunter D, Dick F, Smith K, Thiele A, Griffiths TD, Marslen-Wilson WD, Petkov CI.","Nat Commun. 2015 Nov 17;6:8901. doi: 10.1038/ncomms9901.","Wilson B","Nat Commun","2015","2015/11/18","PMC4660034","EMS65623","10.1038/ncomms9901"
"26125513","Dynamically Allocated Hub in Task-Evoked Network Predicts the Vulnerable Prefrontal Locus for Contextual Memory Retrieval in Macaques","Osada T, Adachi Y, Miyamoto K, Jimura K, Setsuie R, Miyashita Y.","PLoS Biol. 2015 Jun 30;13(6):e1002177. doi: 10.1371/journal.pbio.1002177. eCollection 2015 Jun.","Osada T","PLoS Biol","2015","2015/07/01","PMC4488377","","10.1371/journal.pbio.1002177"
"26091254","High-field functional magnetic resonance imaging of vocalization processing in marmosets","Sadagopan S, Temiz-Karayol NZ, Voss HU.","Sci Rep. 2015 Jun 19;5:10950. doi: 10.1038/srep10950.","Sadagopan S","Sci Rep","2015","2015/06/20","PMC4473644","","10.1038/srep10950"
"26015576","Oxytocin modulates fMRI responses to facial expression in macaques","Liu N, Hadj-Bouziane F, Jones KB, Turchi JN, Averbeck BB, Ungerleider LG.","Proc Natl Acad Sci U S A. 2015 Jun 16;112(24):E3123-30. doi: 10.1073/pnas.1508097112. Epub 2015 May 26.","Liu N","Proc Natl Acad Sci U S A","2015","2015/05/28","PMC4475931","","10.1073/pnas.1508097112"
"25759677","Exploring manual asymmetries during grasping: a dynamic causal modeling approach","Begliomini C, Sartori L, Miotto D, Stramare R, Motta R, Castiello U.","Front Psychol. 2015 Feb 24;6:167. doi: 10.3389/fpsyg.2015.00167. eCollection 2015.","Begliomini C","Front Psychol","2015","2015/03/12","PMC4338815","","10.3389/fpsyg.2015.00167"
"25689048","Effective connectivity of depth-structure-selective patches in the lateral bank of the macaque intraparietal sulcus","Premereur E, Van Dromme IC, Romero MC, Vanduffel W, Janssen P.","PLoS Biol. 2015 Feb 17;13(2):e1002072. doi: 10.1371/journal.pbio.1002072. eCollection 2015 Feb.","Premereur E","PLoS Biol","2015","2015/02/18","PMC4331519","","10.1371/journal.pbio.1002072"
"25590651","The topography of frequency and time representation in primate auditory cortices","Baumann S, Joly O, Rees A, Petkov CI, Sun L, Thiele A, Griffiths TD.","Elife. 2015 Jan 15;4:e03256. doi: 10.7554/eLife.03256.","Baumann S","Elife","2015","2015/01/16","PMC4398946","","10.7554/eLife.03256"
"24904067","Parcellation of Human and Monkey Core Auditory Cortex with fMRI Pattern Classification and Objective Detection of Tonotopic Gradient Reversals","Schönwiesner M, Dechent P, Voit D, Petkov CI, Krumbholz K.","Cereb Cortex. 2015 Oct;25(10):3278-89. doi: 10.1093/cercor/bhu124. Epub 2014 Jun 5.","Schönwiesner M","Cereb Cortex","2015","2014/06/07","PMC4585487","EMS64057","10.1093/cercor/bhu124"
"24530271","Parkinson׳s disease-related modulation of functional connectivity associated with the striatum in the resting state in a nonhuman primate model","Li J, Luo C, Chen Y, Chen Q, Huang R, Sun J, Gong Q, Wu X, Qi Z, Liang Z, Li L, Li H, Li P, Wang W, Shang HF.","Brain Res. 2014 Mar 25;1555:10-9. doi: 10.1016/j.brainres.2014.01.054. Epub 2014 Feb 13.","Li J","Brain Res","2014","2014/02/18","","","10.1016/j.brainres.2014.01.054"
"23721725","Structural connectivity of visuotopic intraparietal sulcus","Bray S, Arnold AE, Iaria G, MacQueen G.","Neuroimage. 2013 Nov 15;82:137-45. doi: 10.1016/j.neuroimage.2013.05.080. Epub 2013 May 28.","Bray S","Neuroimage","2013","2013/06/01","","","10.1016/j.neuroimage.2013.05.080"
"23206683","Optogenetic neuromodulation","Kalanithi PS, Henderson JM.","Int Rev Neurobiol. 2012;107:185-205. doi: 10.1016/B978-0-12-404706-8.00010-3.","Kalanithi PS","Int Rev Neurobiol","2012","2012/12/05","","","10.1016/B978-0-12-404706-8.00010-3"
"23015424","Mapping pitch representation in neural ensembles with fMRI","Griffiths TD, Hall DA.","J Neurosci. 2012 Sep 26;32(39):13343-7. doi: 10.1523/JNEUROSCI.3813-12.2012.","Griffiths TD","J Neurosci","2012","2012/09/28","PMC6621372","","10.1523/JNEUROSCI.3813-12.2012"
"22529770","What are the Odds? The Neural Correlates of Active Choice during Gambling","Studer B, Apergis-Schoute AM, Robbins TW, Clark L.","Front Neurosci. 2012 Apr 18;6:46. doi: 10.3389/fnins.2012.00046. eCollection 2012.","Studer B","Front Neurosci","2012","2012/04/25","PMC3328778","","10.3389/fnins.2012.00046"
