PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27405331","Frontoparietal Functional Connectivity in the Common Marmoset","Ghahremani M, Hutchison RM, Menon RS, Everling S.","Cereb Cortex. 2017 Aug 1;27(8):3890-3905. doi: 10.1093/cercor/bhw198.","Ghahremani M","Cereb Cortex","2017","2016/07/14","","","10.1093/cercor/bhw198"
"27063864","Decreased functional connectivity in dorsolateral prefrontal cortical networks in adult macaques with neonatal hippocampal lesions: Relations to visual working memory deficits","Meng Y, Hu X, Bachevalier J, Zhang X.","Neurobiol Learn Mem. 2016 Oct;134 Pt A(Pt A):31-37. doi: 10.1016/j.nlm.2016.04.003. Epub 2016 Apr 7.","Meng Y","Neurobiol Learn Mem","2016","2016/04/12","PMC6329462","NIHMS1001069","10.1016/j.nlm.2016.04.003"
"26899785","A ventral salience network in the macaque brain","Touroutoglou A, Bliss-Moreau E, Zhang J, Mantini D, Vanduffel W, Dickerson BC, Barrett LF.","Neuroimage. 2016 May 15;132:190-197. doi: 10.1016/j.neuroimage.2016.02.029. Epub 2016 Feb 17.","Touroutoglou A","Neuroimage","2016","2016/02/23","PMC4851897","NIHMS767594","10.1016/j.neuroimage.2016.02.029"
"25941372","Stable long-range interhemispheric coordination is supported by direct anatomical projections","Shen K, Mišić B, Cipollini BN, Bezgin G, Buschkuehl M, Hutchison RM, Jaeggi SM, Kross E, Peltier SJ, Everling S, Jonides J, McIntosh AR, Berman MG.","Proc Natl Acad Sci U S A. 2015 May 19;112(20):6473-8. doi: 10.1073/pnas.1503436112. Epub 2015 May 4.","Shen K","Proc Natl Acad Sci U S A","2015","2015/05/06","PMC4443345","","10.1073/pnas.1503436112"
"25855174","Network structure shapes spontaneous functional connectivity dynamics","Shen K, Hutchison RM, Bezgin G, Everling S, McIntosh AR.","J Neurosci. 2015 Apr 8;35(14):5579-88. doi: 10.1523/JNEUROSCI.4903-14.2015.","Shen K","J Neurosci","2015","2015/04/10","PMC6605321","","10.1523/JNEUROSCI.4903-14.2015"
"25799040","Global network influences on local functional connectivity","Snyder AC, Morais MJ, Willis CM, Smith MA.","Nat Neurosci. 2015 May;18(5):736-43. doi: 10.1038/nn.3979. Epub 2015 Mar 23.","Snyder AC","Nat Neurosci","2015","2015/03/24","PMC4641678","NIHMS666245","10.1038/nn.3979"
"25044934","Isoflurane induces dose-dependent alterations in the cortical connectivity profiles and dynamic properties of the brain's functional architecture","Hutchison RM, Hutchison M, Manning KY, Menon RS, Everling S.","Hum Brain Mapp. 2014 Dec;35(12):5754-75. doi: 10.1002/hbm.22583. Epub 2014 Jul 12.","Hutchison RM","Hum Brain Mapp","2014","2014/07/22","PMC6869297","","10.1002/hbm.22583"
"24899713","Identification of optimal structural connectivity using functional connectivity and neural modeling","Deco G, McIntosh AR, Shen K, Hutchison RM, Menon RS, Everling S, Hagmann P, Jirsa VK.","J Neurosci. 2014 Jun 4;34(23):7910-6. doi: 10.1523/JNEUROSCI.4423-13.2014.","Deco G","J Neurosci","2014","2014/06/06","PMC6608269","","10.1523/JNEUROSCI.4423-13.2014"
"24741045","Bridging the gap between the human and macaque connectome: a quantitative comparison of global interspecies structure-function relationships and network topology","Miranda-Dominguez O, Mills BD, Grayson D, Woodall A, Grant KA, Kroenke CD, Fair DA.","J Neurosci. 2014 Apr 16;34(16):5552-63. doi: 10.1523/JNEUROSCI.4229-13.2014.","Miranda-Dominguez O","J Neurosci","2014","2014/04/18","PMC3988411","","10.1523/JNEUROSCI.4229-13.2014"
"24530271","Parkinson׳s disease-related modulation of functional connectivity associated with the striatum in the resting state in a nonhuman primate model","Li J, Luo C, Chen Y, Chen Q, Huang R, Sun J, Gong Q, Wu X, Qi Z, Liang Z, Li L, Li H, Li P, Wang W, Shang HF.","Brain Res. 2014 Mar 25;1555:10-9. doi: 10.1016/j.brainres.2014.01.054. Epub 2014 Feb 13.","Li J","Brain Res","2014","2014/02/18","","","10.1016/j.brainres.2014.01.054"
"22735155","Contrasting patterns of cortical input to architectural subdivisions of the area 8 complex: a retrograde tracing study in marmoset monkeys","Reser DH, Burman KJ, Yu HH, Chaplin TA, Richardson KE, Worthy KH, Rosa MG.","Cereb Cortex. 2013 Aug;23(8):1901-22. doi: 10.1093/cercor/bhs177. Epub 2012 Jun 26.","Reser DH","Cereb Cortex","2013","2012/06/28","PMC3698368","","10.1093/cercor/bhs177"
"22438275","Resting-state networks show dynamic functional connectivity in awake humans and anesthetized macaques","Hutchison RM, Womelsdorf T, Gati JS, Everling S, Menon RS.","Hum Brain Mapp. 2013 Sep;34(9):2154-77. doi: 10.1002/hbm.22058. Epub 2012 Mar 22.","Hutchison RM","Hum Brain Mapp","2013","2012/03/23","PMC6870538","","10.1002/hbm.22058"
"21411650","Diffusion-weighted imaging tractography-based parcellation of the human parietal cortex and comparison with human and macaque resting-state functional connectivity","Mars RB, Jbabdi S, Sallet J, O'Reilly JX, Croxson PL, Olivier E, Noonan MP, Bergmann C, Mitchell AS, Baxter MG, Behrens TE, Johansen-Berg H, Tomassini V, Miller KL, Rushworth MF.","J Neurosci. 2011 Mar 16;31(11):4087-100. doi: 10.1523/JNEUROSCI.5102-10.2011.","Mars RB","J Neurosci","2011","2011/03/18","PMC3091022","UKMS34710","10.1523/JNEUROSCI.5102-10.2011"
"20110506","Decorrelated neuronal firing in cortical microcircuits","Ecker AS, Berens P, Keliris GA, Bethge M, Logothetis NK, Tolias AS.","Science. 2010 Jan 29;327(5965):584-7. doi: 10.1126/science.1179867.","Ecker AS","Science","2010","2010/01/30","","","10.1126/science.1179867"
"19955295","Functional connectivity of the macaque posterior parahippocampal cortex","Vincent JL, Kahn I, Van Essen DC, Buckner RL.","J Neurophysiol. 2010 Feb;103(2):793-800. doi: 10.1152/jn.00546.2009. Epub 2009 Dec 2.","Vincent JL","J Neurophysiol","2010","2009/12/04","PMC2822694","","10.1152/jn.00546.2009"
"12811734","Regional cerebral blood flow correlations of somatosensory areas 3a, 3b, 1, and 2 in humans during rest: a PET and cytoarchitectural study","Young JP, Geyer S, Grefkes C, Amunts K, Morosan P, Zilles K, Roland PE.","Hum Brain Mapp. 2003 Jul;19(3):183-96. doi: 10.1002/hbm.10114.","Young JP","Hum Brain Mapp","2003","2003/06/18","PMC6872010","","10.1002/hbm.10114"
