PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31672243","Approach-Avoidance Conflict in Major Depressive Disorder: Congruent Neural Findings in Humans and Nonhuman Primates","Ironside M, Amemori KI, McGrath CL, Pedersen ML, Kang MS, Amemori S, Frank MJ, Graybiel AM, Pizzagalli DA.","Biol Psychiatry. 2020 Mar 1;87(5):399-408. doi: 10.1016/j.biopsych.2019.08.022. Epub 2019 Sep 6.","Ironside M","Biol Psychiatry","2020","2019/11/02","PMC7007869","NIHMS1539267","10.1016/j.biopsych.2019.08.022"
"31399570","Ventral midbrain stimulation induces perceptual learning and cortical plasticity in primates","Arsenault JT, Vanduffel W.","Nat Commun. 2019 Aug 9;10(1):3591. doi: 10.1038/s41467-019-11527-9.","Arsenault JT","Nat Commun","2019","2019/08/11","PMC6689065","","10.1038/s41467-019-11527-9"
"31316116","A macaque connectome for large-scale network simulations in TheVirtualBrain","Shen K, Bezgin G, Schirner M, Ritter P, Everling S, McIntosh AR.","Sci Data. 2019 Jul 17;6(1):123. doi: 10.1038/s41597-019-0129-z.","Shen K","Sci Data","2019","2019/07/19","PMC6637142","","10.1038/s41597-019-0129-z"
"31182868","Divergence in the functional organization of human and macaque auditory cortex revealed by fMRI responses to harmonic tones","Norman-Haignere SV, Kanwisher N, McDermott JH, Conway BR.","Nat Neurosci. 2019 Jul;22(7):1057-1060. doi: 10.1038/s41593-019-0410-7. Epub 2019 Jun 10.","Norman-Haignere SV","Nat Neurosci","2019","2019/06/12","PMC6592717","NIHMS1527466","10.1038/s41593-019-0410-7"
"31015550","Optical intrinsic signal imaging with optogenetics reveals functional cortico-cortical connectivity at the columnar level in living macaques","Nakamichi Y, Okubo K, Sato T, Hashimoto M, Tanifuji M.","Sci Rep. 2019 Apr 23;9(1):6466. doi: 10.1038/s41598-019-42923-2.","Nakamichi Y","Sci Rep","2019","2019/04/25","PMC6478906","","10.1038/s41598-019-42923-2"
"30925163","Areal differences in depth cue integration between monkey and human","Armendariz M, Ban H, Welchman AE, Vanduffel W.","PLoS Biol. 2019 Mar 29;17(3):e2006405. doi: 10.1371/journal.pbio.2006405. eCollection 2019 Mar.","Armendariz M","PLoS Biol","2019","2019/03/30","PMC6457573","","10.1371/journal.pbio.2006405"
"30822717","Validations of apomorphine-induced BOLD activation correlations in hemiparkinsonian rhesus macaques","Quintero JE, Ai Y, Andersen AH, Hardy P, Grondin R, Guduru Z, Gash DM, Gerhardt GA, Zhang Z.","Neuroimage Clin. 2019;22:101724. doi: 10.1016/j.nicl.2019.101724. Epub 2019 Feb 18.","Quintero JE","Neuroimage Clin","2019","2019/03/02","PMC6396014","","10.1016/j.nicl.2019.101724"
"30808550","The evolution of the temporoparietal junction and posterior superior temporal sulcus","Patel GH, Sestieri C, Corbetta M.","Cortex. 2019 Sep;118:38-50. doi: 10.1016/j.cortex.2019.01.026. Epub 2019 Feb 7.","Patel GH","Cortex","2019","2019/02/28","PMC7713666","NIHMS1648149","10.1016/j.cortex.2019.01.026"
"30793083","Estimating feedforward and feedback effective connections from fMRI time series: Assessments of statistical methods","Sanchez-Romero R, Ramsey JD, Zhang K, Glymour MRK, Huang B, Glymour C.","Netw Neurosci. 2019 Feb 1;3(2):274-306. doi: 10.1162/netn_a_00061. eCollection 2019.","Sanchez-Romero R","Netw Neurosci","2019","2019/02/23","PMC6370458","","10.1162/netn_a_00061"
"30773369","Spatial Attention Deficits Are Causally Linked to an Area in Macaque Temporal Cortex","Bogadhi AR, Bollimunta A, Leopold DA, Krauzlis RJ.","Curr Biol. 2019 Mar 4;29(5):726-736.e4. doi: 10.1016/j.cub.2019.01.028. Epub 2019 Feb 14.","Bogadhi AR","Curr Biol","2019","2019/02/19","PMC6401289","NIHMS1521394","10.1016/j.cub.2019.01.028"
