PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"20493828","MEG in the macaque monkey and human: distinguishing cortical fields in space and time","Zumer JM, Nagarajan SS, Krubitzer LA, Zhu Z, Turner RS, Disbrow EA.","Brain Res. 2010 Jul 23;1345:110-24. doi: 10.1016/j.brainres.2010.05.037. Epub 2010 May 20.","Zumer JM","Brain Res","2010","2010/05/25","PMC2899153","NIHMS213622","10.1016/j.brainres.2010.05.037"
"20171926","The multiple-demand (MD) system of the primate brain: mental programs for intelligent behaviour","Duncan J.","Trends Cogn Sci. 2010 Apr;14(4):172-9. doi: 10.1016/j.tics.2010.01.004. Epub 2010 Feb 18.","Duncan J","Trends Cogn Sci","2010","2010/02/23","","","10.1016/j.tics.2010.01.004"
"20053384","Characterisation of the BOLD response time course at different levels of the auditory pathway in non-human primates","Baumann S, Griffiths TD, Rees A, Hunter D, Sun L, Thiele A.","Neuroimage. 2010 Apr 15;50(3):1099-108. doi: 10.1016/j.neuroimage.2009.12.103. Epub 2010 Jan 4.","Baumann S","Neuroimage","2010","2010/01/08","PMC2880247","","10.1016/j.neuroimage.2009.12.103"
"19961940","Competition between learned reward and error outcome predictions in anterior cingulate cortex","Alexander WH, Brown JW.","Neuroimage. 2010 Feb 15;49(4):3210-8. doi: 10.1016/j.neuroimage.2009.11.065. Epub 2009 Dec 1.","Alexander WH","Neuroimage","2010","2009/12/08","PMC2818639","NIHMS163734","10.1016/j.neuroimage.2009.11.065"
"19778621","The folding fingerprint of visual cortex reveals the timing of human V1 and V2","Ales J, Carney T, Klein SA.","Neuroimage. 2010 Feb 1;49(3):2494-502. doi: 10.1016/j.neuroimage.2009.09.022. Epub 2009 Sep 22.","Ales J","Neuroimage","2010","2009/09/26","PMC2818454","NIHMS158661","10.1016/j.neuroimage.2009.09.022"
"19605642","The foveal confluence in human visual cortex","Schira MM, Tyler CW, Breakspear M, Spehar B.","J Neurosci. 2009 Jul 15;29(28):9050-8. doi: 10.1523/JNEUROSCI.1760-09.2009.","Schira MM","J Neurosci","2009","2009/07/17","PMC6665445","","10.1523/JNEUROSCI.1760-09.2009"
"19598180","BOLD-specific cerebral blood volume and blood flow changes during neuronal activation in humans","Chen JJ, Pike GB.","NMR Biomed. 2009 Dec;22(10):1054-62. doi: 10.1002/nbm.1411.","Chen JJ","NMR Biomed","2009","2009/07/15","","","10.1002/nbm.1411"
"19446348","Functional imaging of the human dopaminergic midbrain","Düzel E, Bunzeck N, Guitart-Masip M, Wittmann B, Schott BH, Tobler PN.","Trends Neurosci. 2009 Jun;32(6):321-8. doi: 10.1016/j.tins.2009.02.005. Epub 2009 May 14.","Düzel E","Trends Neurosci","2009","2009/05/19","","","10.1016/j.tins.2009.02.005"
"19397867","Evidence for long-range feedback in target detection: Detection of semantic targets modulates activity in early visual areas","Hon N, Thompson R, Sigala N, Duncan J.","Neuropsychologia. 2009 Jun;47(7):1721-7. doi: 10.1016/j.neuropsychologia.2009.02.011. Epub 2009 Feb 13.","Hon N","Neuropsychologia","2009","2009/04/29","","","10.1016/j.neuropsychologia.2009.02.011"
"19301992","Auditory spatial and object processing in the human planum temporale: no evidence for selectivity","Smith KR, Hsieh IH, Saberi K, Hickok G.","J Cogn Neurosci. 2010 Apr;22(4):632-9. doi: 10.1162/jocn.2009.21196.","Smith KR","J Cogn Neurosci","2010","2009/03/24","","","10.1162/jocn.2009.21196"
"19269312","Multisensory interactions in primate auditory cortex: fMRI and electrophysiology","Kayser C, Petkov CI, Logothetis NK.","Hear Res. 2009 Dec;258(1-2):80-8. doi: 10.1016/j.heares.2009.02.011. Epub 2009 Mar 6.","Kayser C","Hear Res","2009","2009/03/10","","","10.1016/j.heares.2009.02.011"
"19179278","An anterior temporal face patch in human cortex, predicted by macaque maps","Rajimehr R, Young JC, Tootell RB.","Proc Natl Acad Sci U S A. 2009 Feb 10;106(6):1995-2000. doi: 10.1073/pnas.0807304106. Epub 2009 Jan 28.","Rajimehr R","Proc Natl Acad Sci U S A","2009","2009/01/31","PMC2632713","","10.1073/pnas.0807304106"
"19167419","Orientation-specific contextual modulation of the fMRI BOLD response to luminance and chromatic gratings in human visual cortex","McDonald JS, Seymour KJ, Schira MM, Spehar B, Clifford CW.","Vision Res. 2009 May;49(11):1397-405. doi: 10.1016/j.visres.2008.12.014. Epub 2009 Jan 22.","McDonald JS","Vision Res","2009","2009/01/27","","","10.1016/j.visres.2008.12.014"
"19164537","Congenitally altered motor experience alters somatotopic organization of human primary motor cortex","Stoeckel MC, Seitz RJ, Buetefisch CM.","Proc Natl Acad Sci U S A. 2009 Feb 17;106(7):2395-400. doi: 10.1073/pnas.0803733106. Epub 2009 Jan 21.","Stoeckel MC","Proc Natl Acad Sci U S A","2009","2009/01/24","PMC2650167","","10.1073/pnas.0803733106"
"19146347","Spatial frequency tuning in human retinotopic visual areas","Henriksson L, Nurminen L, Hyvärinen A, Vanni S.","J Vis. 2008 Aug 1;8(10):5.1-13. doi: 10.1167/8.10.5.","Henriksson L","J Vis","2008","2009/01/17","","","10.1167/8.10.5"
"19138749","BOLD fMRI activation for anti-saccades in nonhuman primates","Ford KA, Gati JS, Menon RS, Everling S.","Neuroimage. 2009 Apr 1;45(2):470-6. doi: 10.1016/j.neuroimage.2008.12.009. Epub 2008 Dec 24.","Ford KA","Neuroimage","2009","2009/01/14","","","10.1016/j.neuroimage.2008.12.009"
